bin_index,value
0,180
1,181
2,182
3,183
4,184
5,185
6,186
7,187
8,188
9,189
10,190
11,191
12,180
13,181
14,182
15,183
16,184
17,185
18,186
19,187
20,188
21,189
22,190
23,191
24,180
25,181
26,182
27,183
28,184
29,185
30,186
31,187
32,188
33,189
34,190
35,191
36,180
37,181
38,182
39,183
40,184
41,185
42,186
43,187
44,188
45,189
46,190
47,191
48,180
49,181
50,182
51,183
52,184
53,185
54,186
55,187
56,188
57,189
58,190
59,191
60,180
61,181
62,182
63,183
64,184
65,185
66,186
67,187
68,188
69,189
70,190
71,191
72,180
73,181
74,182
75,183
76,184
77,185
78,186
79,187
80,188
81,189
82,190
83,191
84,180
85,181
86,182
87,183
88,184
89,185
90,186
91,187
92,188
93,189
94,190
95,191
