bin_index,value
0,500
1,501
2,502
3,503
4,504
5,505
6,506
7,507
8,508
9,509
10,510
11,511
12,512
13,513
14,514
15,515
16,516
17,517
18,518
19,519
20,520
21,521
22,522
23,523
24,524
25,525
26,526
27,527
28,528
29,529
30,500
31,501
32,502
33,503
34,504
35,505
36,506
37,507
38,508
39,509
40,510
41,511
42,512
43,513
44,514
45,515
46,516
47,517
48,518
49,519
50,520
51,521
52,522
53,523
54,524
55,525
56,526
57,527
58,528
59,529
60,500
61,501
62,502
63,503
64,504
65,505
66,506
67,507
68,508
69,509
70,510
71,511
72,512
73,513
74,514
75,515
76,516
77,517
78,518
79,519
80,520
81,521
82,522
83,523
84,524
85,525
86,526
87,527
88,528
89,529
90,500
91,501
92,502
93,503
94,504
95,505
96,506
97,507
98,508
99,509
100,510
101,511
102,512
103,513
104,514
105,515
106,516
107,517
108,518
109,519
110,520
111,521
112,522
113,523
114,524
115,525
116,526
117,527
118,528
119,529
120,500
121,501
122,502
123,503
124,504
125,505
126,506
127,507
128,508
129,509
130,510
131,511
132,512
133,513
134,514
135,515
136,516
137,517
138,518
139,519
140,520
141,521
142,522
143,523
