bin_index,value
0,5
1,6
2,7
3,5
4,6
5,7
6,5
7,6
8,7
9,5
10,6
11,7
12,5
13,6
14,7
15,5
16,6
17,7
18,5
19,6
20,7
21,5
22,6
23,7
24,5
25,6
26,7
27,5
28,6
29,7
30,5
31,6
32,7
33,5
34,6
35,7
36,5
37,6
38,7
39,5
40,6
41,7
42,5
43,6
44,7
45,5
46,6
47,7
48,5
49,6
50,7
51,5
52,6
53,7
54,5
55,6
56,7
57,5
58,6
59,7
60,5
61,6
62,7
63,5
64,6
65,7
66,5
67,6
68,7
69,5
70,6
71,7
72,5
73,6
74,7
75,5
76,6
77,7
78,5
79,6
80,7
81,5
82,6
83,7
84,5
85,6
86,7
87,5
88,6
89,7
90,5
91,6
92,7
93,5
94,6
95,7
96,5
97,6
98,7
99,5
100,6
101,7
102,5
103,6
104,7
105,5
106,6
107,7
108,5
109,6
110,7
111,5
112,6
113,7
114,5
115,6
116,7
117,5
118,6
119,7
120,5
121,6
122,7
123,5
124,6
125,7
126,5
127,6
128,7
129,5
130,6
131,7
132,5
133,6
134,7
135,5
136,6
137,7
138,5
139,6
140,7
141,5
142,6
143,7
