bin_index,value
0,495
1,496
2,497
3,498
4,499
5,500
6,501
7,502
8,503
9,504
10,505
11,506
12,507
13,508
14,509
15,510
16,511
17,512
18,513
19,514
20,515
21,516
22,517
23,518
24,519
25,495
26,496
27,497
28,498
29,499
30,500
31,501
32,502
33,503
34,504
35,505
36,506
37,507
38,508
39,509
40,510
41,511
42,512
43,513
44,514
45,515
46,516
47,517
48,518
49,519
50,495
51,496
52,497
53,498
54,499
55,500
56,501
57,502
58,503
59,504
60,505
61,506
62,507
63,508
64,509
65,510
66,511
67,512
68,513
69,514
70,515
71,516
72,517
73,518
74,519
75,495
76,496
77,497
78,498
79,499
80,500
81,501
82,502
83,503
84,504
85,505
86,506
87,507
88,508
89,509
90,510
91,511
92,512
93,513
94,514
95,515
96,516
97,517
98,518
99,519
100,495
101,496
102,497
103,498
104,499
105,500
106,501
107,502
108,503
109,504
110,505
111,506
112,507
113,508
114,509
115,510
116,511
117,512
118,513
119,514
120,515
121,516
122,517
123,518
124,519
125,495
126,496
127,497
128,498
129,499
130,500
131,501
132,502
133,503
134,504
135,505
136,506
137,507
138,508
139,509
140,510
141,511
142,512
143,513
