bin_index,value
0,300
1,301
2,302
3,303
4,304
5,305
6,306
7,307
8,308
9,309
10,310
11,311
12,312
13,313
14,314
15,315
16,316
17,317
18,318
19,319
20,300
21,301
22,302
23,303
24,304
25,305
26,306
27,307
28,308
29,309
30,310
31,311
32,312
33,313
34,314
35,315
36,316
37,317
38,318
39,319
40,300
41,301
42,302
43,303
44,304
45,305
46,306
47,307
48,308
49,309
50,310
51,311
52,312
53,313
54,314
55,315
56,316
57,317
58,318
59,319
60,300
61,301
62,302
63,303
64,304
65,305
66,306
67,307
68,308
69,309
70,310
71,311
72,312
73,313
74,314
75,315
76,316
77,317
78,318
79,319
80,300
81,301
82,302
83,303
84,304
85,305
86,306
87,307
88,308
89,309
90,310
91,311
92,312
93,313
94,314
95,315
96,316
97,317
98,318
99,319
100,300
101,301
102,302
103,303
104,304
105,305
106,306
107,307
108,308
109,309
110,310
111,311
112,312
113,313
114,314
115,315
116,316
117,317
118,318
119,319
120,300
121,301
122,302
123,303
124,304
125,305
126,306
127,307
128,308
129,309
130,310
131,311
132,312
133,313
134,314
135,315
136,316
137,317
138,318
139,319
140,300
141,301
142,302
143,303
