bin_index,value
0,4
1,5
2,4
3,5
4,4
5,5
6,4
7,5
8,4
9,5
10,4
11,5
12,4
13,5
14,4
15,5
16,4
17,5
18,4
19,5
20,4
21,5
22,4
23,5
24,4
25,5
26,4
27,5
28,4
29,5
30,4
31,5
32,4
33,5
34,4
35,5
36,4
37,5
38,4
39,5
40,4
41,5
42,4
43,5
44,4
45,5
46,4
47,5
48,4
49,5
50,4
51,5
52,4
53,5
54,4
55,5
56,4
57,5
58,4
59,5
60,4
61,5
62,4
63,5
64,4
65,5
66,4
67,5
68,4
69,5
70,4
71,5
72,4
73,5
74,4
75,5
76,4
77,5
78,4
79,5
80,4
81,5
82,4
83,5
84,4
85,5
86,4
87,5
88,4
89,5
90,4
91,5
92,4
93,5
94,4
95,5
96,4
97,5
98,4
99,5
100,4
101,5
102,4
103,5
104,4
105,5
106,4
107,5
108,4
109,5
110,4
111,5
112,4
113,5
114,4
115,5
116,4
117,5
118,4
119,5
120,4
121,5
122,4
123,5
124,4
125,5
126,4
127,5
128,4
129,5
130,4
131,5
132,4
133,5
134,4
135,5
136,4
137,5
138,4
139,5
140,4
141,5
142,4
143,5
