bin_index,value
0,295
1,296
2,297
3,298
4,299
5,300
6,301
7,302
8,303
9,304
10,305
11,306
12,307
13,308
14,309
15,310
16,311
17,312
18,295
19,296
20,297
21,298
22,299
23,300
24,301
25,302
26,303
27,304
28,305
29,306
30,307
31,308
32,309
33,310
34,311
35,312
36,295
37,296
38,297
39,298
40,299
41,300
42,301
43,302
44,303
45,304
46,305
47,306
48,307
49,308
50,309
51,310
52,311
53,312
54,295
55,296
56,297
57,298
58,299
59,300
60,301
61,302
62,303
63,304
64,305
65,306
66,307
67,308
68,309
69,310
70,311
71,312
72,295
73,296
74,297
75,298
76,299
77,300
78,301
79,302
80,303
81,304
82,305
83,306
84,307
85,308
86,309
87,310
88,311
89,312
90,295
91,296
92,297
93,298
94,299
95,300
96,301
97,302
98,303
99,304
100,305
101,306
102,307
103,308
104,309
105,310
106,311
107,312
108,295
109,296
110,297
111,298
112,299
113,300
114,301
115,302
116,303
117,304
118,305
119,306
120,307
121,308
122,309
123,310
124,311
125,312
126,295
127,296
128,297
129,298
130,299
131,300
132,301
133,302
134,303
135,304
136,305
137,306
138,307
139,308
140,309
141,310
142,311
143,312
