bin_index,value
0,240
1,241
2,242
3,243
4,244
5,245
6,246
7,247
8,248
9,249
10,250
11,251
12,240
13,241
14,242
15,243
16,244
17,245
18,246
19,247
20,248
21,249
22,250
23,251
24,240
25,241
26,242
27,243
28,244
29,245
30,246
31,247
32,248
33,249
34,250
35,251
36,240
37,241
38,242
39,243
40,244
41,245
42,246
43,247
44,248
45,249
46,250
47,251
48,240
49,241
50,242
51,243
52,244
53,245
54,246
55,247
56,248
57,249
58,250
59,251
60,240
61,241
62,242
63,243
64,244
65,245
66,246
67,247
68,248
69,249
70,250
71,251
72,240
73,241
74,242
75,243
76,244
77,245
78,246
79,247
80,248
81,249
82,250
83,251
84,240
85,241
86,242
87,243
88,244
89,245
90,246
91,247
92,248
93,249
94,250
95,251
96,240
97,241
98,242
99,243
100,244
101,245
102,246
103,247
104,248
105,249
106,250
107,251
108,240
109,241
110,242
111,243
112,244
113,245
114,246
115,247
116,248
117,249
118,250
119,251
120,240
121,241
122,242
123,243
124,244
125,245
126,246
127,247
128,248
129,249
130,250
131,251
132,240
133,241
134,242
135,243
136,244
137,245
138,246
139,247
140,248
141,249
142,250
143,251
