bin_index,value
0,238
1,239
2,240
3,241
4,242
5,243
6,244
7,245
8,246
9,247
10,238
11,239
12,240
13,241
14,242
15,243
16,244
17,245
18,246
19,247
20,238
21,239
22,240
23,241
24,242
25,243
26,244
27,245
28,246
29,247
30,238
31,239
32,240
33,241
34,242
35,243
36,244
37,245
38,246
39,247
40,238
41,239
42,240
43,241
44,242
45,243
46,244
47,245
48,246
49,247
50,238
51,239
52,240
53,241
54,242
55,243
56,244
57,245
58,246
59,247
60,238
61,239
62,240
63,241
64,242
65,243
66,244
67,245
68,246
69,247
70,238
71,239
72,240
73,241
74,242
75,243
76,244
77,245
78,246
79,247
80,238
81,239
82,240
83,241
84,242
85,243
86,244
87,245
88,246
89,247
90,238
91,239
92,240
93,241
94,242
95,243
96,244
97,245
98,246
99,247
100,238
101,239
102,240
103,241
104,242
105,243
106,244
107,245
108,246
109,247
110,238
111,239
112,240
113,241
114,242
115,243
116,244
117,245
118,246
119,247
120,238
121,239
122,240
123,241
124,242
125,243
126,244
127,245
128,246
129,247
130,238
131,239
132,240
133,241
134,242
135,243
136,244
137,245
138,246
139,247
140,238
141,239
142,240
143,241
