bin_index,value
0,280
1,281
2,282
3,283
4,284
5,285
6,286
7,287
8,288
9,289
10,290
11,291
12,292
13,293
14,294
15,295
16,296
17,297
18,280
19,281
20,282
21,283
22,284
23,285
24,286
25,287
26,288
27,289
28,290
29,291
30,292
31,293
32,294
33,295
34,296
35,297
36,280
37,281
38,282
39,283
40,284
41,285
42,286
43,287
44,288
45,289
46,290
47,291
48,292
49,293
50,294
51,295
52,296
53,297
54,280
55,281
56,282
57,283
58,284
59,285
60,286
61,287
62,288
63,289
64,290
65,291
66,292
67,293
68,294
69,295
70,296
71,297
72,280
73,281
74,282
75,283
76,284
77,285
78,286
79,287
80,288
81,289
82,290
83,291
84,292
85,293
86,294
87,295
88,296
89,297
90,280
91,281
92,282
93,283
94,284
95,285
96,286
97,287
98,288
99,289
100,290
101,291
102,292
103,293
104,294
105,295
106,296
107,297
108,280
109,281
110,282
111,283
112,284
113,285
114,286
115,287
116,288
117,289
118,290
119,291
120,292
121,293
122,294
123,295
124,296
125,297
126,280
127,281
128,282
129,283
130,284
131,285
132,286
133,287
134,288
135,289
136,290
137,291
138,292
139,293
140,294
141,295
142,296
143,297
