bin_index,value
0,6
1,7
2,6
3,7
4,6
5,7
6,6
7,7
8,6
9,7
10,6
11,7
12,6
13,7
14,6
15,7
16,6
17,7
18,6
19,7
20,6
21,7
22,6
23,7
24,6
25,7
26,6
27,7
28,6
29,7
30,6
31,7
32,6
33,7
34,6
35,7
36,6
37,7
38,6
39,7
40,6
41,7
42,6
43,7
44,6
45,7
46,6
47,7
48,6
49,7
50,6
51,7
52,6
53,7
54,6
55,7
56,6
57,7
58,6
59,7
60,6
61,7
62,6
63,7
64,6
65,7
66,6
67,7
68,6
69,7
70,6
71,7
72,6
73,7
74,6
75,7
76,6
77,7
78,6
79,7
80,6
81,7
82,6
83,7
84,6
85,7
86,6
87,7
88,6
89,7
90,6
91,7
92,6
93,7
94,6
95,7
96,6
97,7
98,6
99,7
100,6
101,7
102,6
103,7
104,6
105,7
106,6
107,7
108,6
109,7
110,6
111,7
112,6
113,7
114,6
115,7
116,6
117,7
118,6
119,7
120,6
121,7
122,6
123,7
124,6
125,7
126,6
127,7
128,6
129,7
130,6
131,7
132,6
133,7
134,6
135,7
136,6
137,7
138,6
139,7
140,6
141,7
142,6
143,7
