bin_index,value
0,270
1,271
2,272
3,273
4,274
5,275
6,276
7,277
8,278
9,279
10,280
11,281
12,282
13,283
14,284
15,270
16,271
17,272
18,273
19,274
20,275
21,276
22,277
23,278
24,279
25,280
26,281
27,282
28,283
29,284
30,270
31,271
32,272
33,273
34,274
35,275
36,276
37,277
38,278
39,279
40,280
41,281
42,282
43,283
44,284
45,270
46,271
47,272
48,273
49,274
50,275
51,276
52,277
53,278
54,279
55,280
56,281
57,282
58,283
59,284
60,270
61,271
62,272
63,273
64,274
65,275
66,276
67,277
68,278
69,279
70,280
71,281
72,282
73,283
74,284
75,270
76,271
77,272
78,273
79,274
80,275
81,276
82,277
83,278
84,279
85,280
86,281
87,282
88,283
89,284
90,270
91,271
92,272
93,273
94,274
95,275
96,276
97,277
98,278
99,279
100,280
101,281
102,282
103,283
104,284
105,270
106,271
107,272
108,273
109,274
110,275
111,276
112,277
113,278
114,279
115,280
116,281
117,282
118,283
119,284
120,270
121,271
122,272
123,273
124,274
125,275
126,276
127,277
128,278
129,279
130,280
131,281
132,282
133,283
134,284
135,270
136,271
137,272
138,273
139,274
140,275
141,276
142,277
143,278
