bin_index,value
0,260
1,261
2,262
3,263
4,264
5,265
6,266
7,267
8,268
9,269
10,270
11,271
12,272
13,273
14,274
15,275
16,260
17,261
18,262
19,263
20,264
21,265
22,266
23,267
24,268
25,269
26,270
27,271
28,272
29,273
30,274
31,275
32,260
33,261
34,262
35,263
36,264
37,265
38,266
39,267
40,268
41,269
42,270
43,271
44,272
45,273
46,274
47,275
48,260
49,261
50,262
51,263
52,264
53,265
54,266
55,267
56,268
57,269
58,270
59,271
60,272
61,273
62,274
63,275
64,260
65,261
66,262
67,263
68,264
69,265
70,266
71,267
72,268
73,269
74,270
75,271
76,272
77,273
78,274
79,275
80,260
81,261
82,262
83,263
84,264
85,265
86,266
87,267
88,268
89,269
90,270
91,271
92,272
93,273
94,274
95,275
96,260
97,261
98,262
99,263
100,264
101,265
102,266
103,267
104,268
105,269
106,270
107,271
108,272
109,273
110,274
111,275
112,260
113,261
114,262
115,263
116,264
117,265
118,266
119,267
120,268
121,269
122,270
123,271
124,272
125,273
126,274
127,275
128,260
129,261
130,262
131,263
132,264
133,265
134,266
135,267
136,268
137,269
138,270
139,271
140,272
141,273
142,274
143,275
