bin_index,value
0,255
1,256
2,257
3,258
4,259
5,260
6,261
7,262
8,263
9,264
10,265
11,266
12,267
13,268
14,255
15,256
16,257
17,258
18,259
19,260
20,261
21,262
22,263
23,264
24,265
25,266
26,267
27,268
28,255
29,256
30,257
31,258
32,259
33,260
34,261
35,262
36,263
37,264
38,265
39,266
40,267
41,268
42,255
43,256
44,257
45,258
46,259
47,260
48,261
49,262
50,263
51,264
52,265
53,266
54,267
55,268
56,255
57,256
58,257
59,258
60,259
61,260
62,261
63,262
64,263
65,264
66,265
67,266
68,267
69,268
70,255
71,256
72,257
73,258
74,259
75,260
76,261
77,262
78,263
79,264
80,265
81,266
82,267
83,268
84,255
85,256
86,257
87,258
88,259
89,260
90,261
91,262
92,263
93,264
94,265
95,266
96,267
97,268
98,255
99,256
100,257
101,258
102,259
103,260
104,261
105,262
106,263
107,264
108,265
109,266
110,267
111,268
112,255
113,256
114,257
115,258
116,259
117,260
118,261
119,262
120,263
121,264
122,265
123,266
124,267
125,268
126,255
127,256
128,257
129,258
130,259
131,260
132,261
133,262
134,263
135,264
136,265
137,266
138,267
139,268
140,255
141,256
142,257
143,258
