bin_index,value
0,220
1,221
2,222
3,223
4,224
5,225
6,226
7,227
8,228
9,229
10,220
11,221
12,222
13,223
14,224
15,225
16,226
17,227
18,228
19,229
20,220
21,221
22,222
23,223
24,224
25,225
26,226
27,227
28,228
29,229
30,220
31,221
32,222
33,223
34,224
35,225
36,226
37,227
38,228
39,229
40,220
41,221
42,222
43,223
44,224
45,225
46,226
47,227
48,228
49,229
50,220
51,221
52,222
53,223
54,224
55,225
56,226
57,227
58,228
59,229
60,220
61,221
62,222
63,223
64,224
65,225
66,226
67,227
68,228
69,229
70,220
71,221
72,222
73,223
74,224
75,225
76,226
77,227
78,228
79,229
80,220
81,221
82,222
83,223
84,224
85,225
86,226
87,227
88,228
89,229
90,220
91,221
92,222
93,223
94,224
95,225
96,226
97,227
98,228
99,229
100,220
101,221
102,222
103,223
104,224
105,225
106,226
107,227
108,228
109,229
110,220
111,221
112,222
113,223
114,224
115,225
116,226
117,227
118,228
119,229
120,220
121,221
122,222
123,223
124,224
125,225
126,226
127,227
128,228
129,229
130,220
131,221
132,222
133,223
134,224
135,225
136,226
137,227
138,228
139,229
140,220
141,221
142,222
143,223
