bin_index,value
0,218
1,219
2,220
3,221
4,222
5,223
6,224
7,225
8,226
9,218
10,219
11,220
12,221
13,222
14,223
15,224
16,225
17,226
18,218
19,219
20,220
21,221
22,222
23,223
24,224
25,225
26,226
27,218
28,219
29,220
30,221
31,222
32,223
33,224
34,225
35,226
36,218
37,219
38,220
39,221
40,222
41,223
42,224
43,225
44,226
45,218
46,219
47,220
48,221
49,222
50,223
51,224
52,225
53,226
54,218
55,219
56,220
57,221
58,222
59,223
60,224
61,225
62,226
63,218
64,219
65,220
66,221
67,222
68,223
69,224
70,225
71,226
72,218
73,219
74,220
75,221
76,222
77,223
78,224
79,225
80,226
81,218
82,219
83,220
84,221
85,222
86,223
87,224
88,225
89,226
90,218
91,219
92,220
93,221
94,222
95,223
96,224
97,225
98,226
99,218
100,219
101,220
102,221
103,222
104,223
105,224
106,225
107,226
108,218
109,219
110,220
111,221
112,222
113,223
114,224
115,225
116,226
117,218
118,219
119,220
120,221
121,222
122,223
123,224
124,225
125,226
126,218
127,219
128,220
129,221
130,222
131,223
132,224
133,225
134,226
135,218
136,219
137,220
138,221
139,222
140,223
141,224
142,225
143,226
