bin_index,value
0,120
1,121
2,122
3,123
4,124
5,125
6,126
7,127
8,128
9,129
10,130
11,131
12,132
13,133
14,134
15,135
16,136
17,137
18,138
19,139
20,140
21,141
22,142
23,143
24,144
25,120
26,121
27,122
28,123
29,124
30,125
31,126
32,127
33,128
34,129
35,130
36,131
37,132
38,133
39,134
40,135
41,136
42,137
43,138
44,139
45,140
46,141
47,142
48,143
49,144
50,120
51,121
52,122
53,123
54,124
55,125
56,126
57,127
58,128
59,129
60,130
61,131
62,132
63,133
64,134
65,135
66,136
67,137
68,138
69,139
70,140
71,141
72,142
73,143
74,144
75,120
76,121
77,122
78,123
79,124
80,125
81,126
82,127
83,128
84,129
85,130
86,131
87,132
88,133
89,134
90,135
91,136
92,137
93,138
94,139
95,140
96,141
97,142
98,143
99,144
100,120
101,121
102,122
103,123
104,124
105,125
106,126
107,127
108,128
109,129
110,130
111,131
112,132
113,133
114,134
115,135
116,136
117,137
118,138
119,139
120,140
121,141
122,142
123,143
124,144
125,120
126,121
127,122
128,123
129,124
130,125
131,126
132,127
133,128
134,129
135,130
136,131
137,132
138,133
139,134
140,135
141,136
142,137
143,138
144,139
145,140
146,141
147,142
148,143
149,144
150,120
151,121
152,122
153,123
154,124
155,125
156,126
157,127
158,128
159,129
160,130
161,131
162,132
163,133
164,134
165,135
166,136
167,137
168,138
169,139
170,140
171,141
172,142
173,143
174,144
175,120
176,121
177,122
178,123
179,124
180,125
181,126
182,127
183,128
184,129
185,130
186,131
187,132
188,133
189,134
190,135
191,136
192,137
193,138
194,139
195,140
196,141
197,142
198,143
199,144
200,120
201,121
202,122
203,123
204,124
205,125
206,126
207,127
208,128
209,129
210,130
211,131
212,132
213,133
214,134
215,135
216,136
217,137
218,138
219,139
220,140
221,141
222,142
223,143
224,144
225,120
226,121
227,122
228,123
229,124
230,125
231,126
232,127
233,128
234,129
235,130
236,131
237,132
238,133
239,134
240,135
241,136
242,137
243,138
244,139
245,140
246,141
247,142
248,143
249,144
250,120
251,121
252,122
253,123
254,124
255,125
256,126
257,127
258,128
259,129
260,130
261,131
262,132
263,133
264,134
265,135
266,136
267,137
268,138
269,139
270,140
271,141
272,142
273,143
274,144
275,120
276,121
277,122
278,123
279,124
280,125
281,126
282,127
283,128
284,129
285,130
286,131
287,132
