bin_index,value
0,118
1,119
2,120
3,121
4,122
5,123
6,124
7,125
8,126
9,127
10,128
11,129
12,130
13,131
14,132
15,133
16,134
17,135
18,136
19,137
20,138
21,139
22,140
23,118
24,119
25,120
26,121
27,122
28,123
29,124
30,125
31,126
32,127
33,128
34,129
35,130
36,131
37,132
38,133
39,134
40,135
41,136
42,137
43,138
44,139
45,140
46,118
47,119
48,120
49,121
50,122
51,123
52,124
53,125
54,126
55,127
56,128
57,129
58,130
59,131
60,132
61,133
62,134
63,135
64,136
65,137
66,138
67,139
68,140
69,118
70,119
71,120
72,121
73,122
74,123
75,124
76,125
77,126
78,127
79,128
80,129
81,130
82,131
83,132
84,133
85,134
86,135
87,136
88,137
89,138
90,139
91,140
92,118
93,119
94,120
95,121
96,122
97,123
98,124
99,125
100,126
101,127
102,128
103,129
104,130
105,131
106,132
107,133
108,134
109,135
110,136
111,137
112,138
113,139
114,140
115,118
116,119
117,120
118,121
119,122
120,123
121,124
122,125
123,126
124,127
125,128
126,129
127,130
128,131
129,132
130,133
131,134
132,135
133,136
134,137
135,138
136,139
137,140
138,118
139,119
140,120
141,121
142,122
143,123
144,124
145,125
146,126
147,127
148,128
149,129
150,130
151,131
152,132
153,133
154,134
155,135
156,136
157,137
158,138
159,139
160,140
161,118
162,119
163,120
164,121
165,122
166,123
167,124
168,125
169,126
170,127
171,128
172,129
173,130
174,131
175,132
176,133
177,134
178,135
179,136
180,137
181,138
182,139
183,140
184,118
185,119
186,120
187,121
188,122
189,123
190,124
191,125
192,126
193,127
194,128
195,129
196,130
197,131
198,132
199,133
200,134
201,135
202,136
203,137
204,138
205,139
206,140
207,118
208,119
209,120
210,121
211,122
212,123
213,124
214,125
215,126
216,127
217,128
218,129
219,130
220,131
221,132
222,133
223,134
224,135
225,136
226,137
227,138
228,139
229,140
230,118
231,119
232,120
233,121
234,122
235,123
236,124
237,125
238,126
239,127
240,128
241,129
242,130
243,131
244,132
245,133
246,134
247,135
248,136
249,137
250,138
251,139
252,140
253,118
254,119
255,120
256,121
257,122
258,123
259,124
260,125
261,126
262,127
263,128
264,129
265,130
266,131
267,132
268,133
269,134
270,135
271,136
272,137
273,138
274,139
275,140
276,118
277,119
278,120
279,121
280,122
281,123
282,124
283,125
284,126
285,127
286,128
287,129
