bin_index,value
0,95
1,96
2,97
3,98
4,99
5,100
6,101
7,102
8,103
9,104
10,105
11,106
12,107
13,108
14,109
15,110
16,111
17,112
18,113
19,114
20,95
21,96
22,97
23,98
24,99
25,100
26,101
27,102
28,103
29,104
30,105
31,106
32,107
33,108
34,109
35,110
36,111
37,112
38,113
39,114
40,95
41,96
42,97
43,98
44,99
45,100
46,101
47,102
48,103
49,104
50,105
51,106
52,107
53,108
54,109
55,110
56,111
57,112
58,113
59,114
60,95
61,96
62,97
63,98
64,99
65,100
66,101
67,102
68,103
69,104
70,105
71,106
72,107
73,108
74,109
75,110
76,111
77,112
78,113
79,114
80,95
81,96
82,97
83,98
84,99
85,100
86,101
87,102
88,103
89,104
90,105
91,106
92,107
93,108
94,109
95,110
96,111
97,112
98,113
99,114
100,95
101,96
102,97
103,98
104,99
105,100
106,101
107,102
108,103
109,104
110,105
111,106
112,107
113,108
114,109
115,110
116,111
117,112
118,113
119,114
120,95
121,96
122,97
123,98
124,99
125,100
126,101
127,102
128,103
129,104
130,105
131,106
132,107
133,108
134,109
135,110
136,111
137,112
138,113
139,114
140,95
141,96
142,97
143,98
144,99
145,100
146,101
147,102
148,103
149,104
150,105
151,106
152,107
153,108
154,109
155,110
156,111
157,112
158,113
159,114
160,95
161,96
162,97
163,98
164,99
165,100
166,101
167,102
168,103
169,104
170,105
171,106
172,107
173,108
174,109
175,110
176,111
177,112
178,113
179,114
180,95
181,96
182,97
183,98
184,99
185,100
186,101
187,102
188,103
189,104
190,105
191,106
192,107
193,108
194,109
195,110
196,111
197,112
198,113
199,114
200,95
201,96
202,97
203,98
204,99
205,100
206,101
207,102
208,103
209,104
210,105
211,106
212,107
213,108
214,109
215,110
216,111
217,112
218,113
219,114
220,95
221,96
222,97
223,98
224,99
225,100
226,101
227,102
228,103
229,104
230,105
231,106
232,107
233,108
234,109
235,110
236,111
237,112
238,113
239,114
240,95
241,96
242,97
243,98
244,99
245,100
246,101
247,102
248,103
249,104
250,105
251,106
252,107
253,108
254,109
255,110
256,111
257,112
258,113
259,114
260,95
261,96
262,97
263,98
264,99
265,100
266,101
267,102
268,103
269,104
270,105
271,106
272,107
273,108
274,109
275,110
276,111
277,112
278,113
279,114
280,95
281,96
282,97
283,98
284,99
285,100
286,101
287,102
