bin_index,value
0,94
1,95
2,96
3,97
4,98
5,99
6,100
7,101
8,102
9,103
10,104
11,105
12,106
13,107
14,108
15,109
16,110
17,111
18,94
19,95
20,96
21,97
22,98
23,99
24,100
25,101
26,102
27,103
28,104
29,105
30,106
31,107
32,108
33,109
34,110
35,111
36,94
37,95
38,96
39,97
40,98
41,99
42,100
43,101
44,102
45,103
46,104
47,105
48,106
49,107
50,108
51,109
52,110
53,111
54,94
55,95
56,96
57,97
58,98
59,99
60,100
61,101
62,102
63,103
64,104
65,105
66,106
67,107
68,108
69,109
70,110
71,111
72,94
73,95
74,96
75,97
76,98
77,99
78,100
79,101
80,102
81,103
82,104
83,105
84,106
85,107
86,108
87,109
88,110
89,111
90,94
91,95
92,96
93,97
94,98
95,99
96,100
97,101
98,102
99,103
100,104
101,105
102,106
103,107
104,108
105,109
106,110
107,111
108,94
109,95
110,96
111,97
112,98
113,99
114,100
115,101
116,102
117,103
118,104
119,105
120,106
121,107
122,108
123,109
124,110
125,111
126,94
127,95
128,96
129,97
130,98
131,99
132,100
133,101
134,102
135,103
136,104
137,105
138,106
139,107
140,108
141,109
142,110
143,111
144,94
145,95
146,96
147,97
148,98
149,99
150,100
151,101
152,102
153,103
154,104
155,105
156,106
157,107
158,108
159,109
160,110
161,111
162,94
163,95
164,96
165,97
166,98
167,99
168,100
169,101
170,102
171,103
172,104
173,105
174,106
175,107
176,108
177,109
178,110
179,111
180,94
181,95
182,96
183,97
184,98
185,99
186,100
187,101
188,102
189,103
190,104
191,105
192,106
193,107
194,108
195,109
196,110
197,111
198,94
199,95
200,96
201,97
202,98
203,99
204,100
205,101
206,102
207,103
208,104
209,105
210,106
211,107
212,108
213,109
214,110
215,111
216,94
217,95
218,96
219,97
220,98
221,99
222,100
223,101
224,102
225,103
226,104
227,105
228,106
229,107
230,108
231,109
232,110
233,111
234,94
235,95
236,96
237,97
238,98
239,99
240,100
241,101
242,102
243,103
244,104
245,105
246,106
247,107
248,108
249,109
250,110
251,111
252,94
253,95
254,96
255,97
256,98
257,99
258,100
259,101
260,102
261,103
262,104
263,105
264,106
265,107
266,108
267,109
268,110
269,111
270,94
271,95
272,96
273,97
274,98
275,99
276,100
277,101
278,102
279,103
280,104
281,105
282,106
283,107
284,108
285,109
286,110
287,111
